id,rating,trip_id
427318,3,653612
750658,3,335258
520796,5,334083
258870,4,219282
360873,2,591969
441855,2,689450
948053,2,747574
998244,4,38910
567075,1,370628
556895,2,261473
447557,3,204670
125508,3,545959
719800,1,766756
44124,4,905299
692102,3,326111
309818,2,101971
515373,2,334664
716982,2,365372
81709,5,97510
878402,3,501399
374991,4,730634
904621,4,315040
601467,1,831752
535727,1,290600
682707,5,404387
908891,5,196497
235581,1,556901
682561,2,131221
543026,5,555270
935840,2,383502
491246,1,709069
638177,1,780652
194697,2,477038
86783,4,177221
740882,3,547322
997273,3,388857
166935,3,116753
414267,5,75689
641315,2,743823
144818,2,420210
760846,3,998551
331285,1,454819
201891,3,348875
359480,1,282784
661072,5,790783
135470,2,806291
636782,5,868432
353435,2,304426
929417,4,138548
679081,2,484152
630090,4,21871
587405,3,432775
686090,4,112556
768289,4,89691
562695,2,120084
409006,5,385320
693552,5,823900
79651,5,354168
708780,4,900511
13796,3,197099
325289,1,821251
202118,4,699218
238862,3,573575
137335,3,651947
961930,5,577681
519797,4,354635
189602,5,467836
383847,4,448135
527628,4,68744
798990,1,94178
149617,2,821065
831740,4,764446
620632,4,641697
453559,1,901261
661283,3,892611
830460,5,41318
298514,1,754470
700826,1,945790
955283,3,618687
23886,5,443195
763887,4,517571
508784,3,405919
731660,2,935692
436421,2,626460
477683,4,958420
196651,5,535290
815839,1,980433
997604,5,142956
307769,1,47959
104611,5,127428
670737,5,752334
294309,3,593526
646581,4,471146
976771,3,976851
303914,3,467985
292509,3,790043
780246,3,789009
633294,4,475583
139194,3,387584
685440,3,506771
986948,3,55121
971940,2,136676
618518,4,789402
626032,1,411609
197573,3,690470
151542,4,697801
421096,5,466167
107080,4,964980
199059,4,748987
727441,1,612849
204904,3,41068
467579,2,583735
551825,2,657590
677540,4,265590
930927,1,587158
660734,3,649839
246519,5,58845
226098,3,45541
322994,5,610647
138891,2,991626
575527,3,607467
344318,2,271726
461149,5,430314
108142,2,920473
906039,1,366891
231439,3,933845
681279,2,783050
410487,2,837633
600752,4,201618
509072,4,114286
877087,5,440110
624052,1,158869
139528,4,392155
551907,5,260876
862385,2,718146
704682,1,895445
848469,1,779265
88106,1,336849
767634,5,683442
119544,2,579840
42061,4,339794
543964,1,413482
866267,4,104196
527182,2,70600
919313,5,16019
669769,5,93503
812273,1,216150
68986,5,677393
255460,4,248264
428105,1,644584
380187,5,936678
383528,4,552194
935072,2,307113
256951,3,62915
640954,1,21820
23020,4,51401
685203,5,946806
231188,3,162624
424484,5,831194
120269,2,71318
161393,1,99501
933911,3,722085
946884,4,759031
594882,4,942329
466960,4,516335
568570,4,67056
446816,4,607857
847890,3,822627
939476,1,363520
71618,2,425593
469704,2,976024
577295,3,697193
116827,4,788701
585672,1,138243
17505,2,314587
550058,5,397164
239145,4,289667
725070,3,954656
171980,3,99435
127595,2,172397
429451,3,62875
188985,5,289716
699981,3,849424
29010,2,290772
440413,5,57220
904798,5,820849
380513,1,865879
486979,2,116430
454551,3,432154
941582,4,650375
234211,4,825554
592936,3,966585
30402,1,305838
68126,4,100361
361673,2,901359
528444,4,426754
125713,2,967553
689838,2,801247
595938,3,788084
604825,3,28816
489823,1,736729
345727,1,436303
790048,5,67292
968769,3,866086
756709,5,265938
543513,3,654409
349351,4,57266
196002,5,325521
851516,5,731515
677613,3,21760
972301,1,190089
916722,2,411926
665604,4,242645
782960,3,363695
405316,4,551018
452365,1,867029
235659,4,330592
246617,4,541213
350343,3,609781
884482,2,383992
882810,3,153083
457531,2,746287
305836,5,212086
633922,2,19186
68914,4,391558
800419,3,235137
364560,5,35891
23281,3,673966
532524,3,337850
591649,3,510116
540716,3,247691
834832,1,750055
417937,4,961553
971381,4,858506
493792,5,499395
418022,5,372037
628738,1,281452
356244,3,349641
464991,2,420765
399423,3,146750
452385,3,475946
303332,4,891393
856917,1,967278
225972,4,901882
157200,1,683923
571056,3,101694
367313,2,319891
502708,5,675656
242168,5,132287
395920,1,163295
776542,4,112098
656244,5,129630
753313,4,858757
569168,3,765947
385851,3,312352
946740,4,177944
613805,5,20180
409032,3,942995
973176,1,490259
294924,2,328499
205820,5,895169
614332,3,668959
460341,3,406682
965925,4,712959
621448,3,89334
499546,5,636637
187375,5,640656
724825,3,123457
888188,3,435506
435195,2,102302
872138,5,962326
839265,1,735386
135168,4,637289
877606,4,195824
682582,2,835908
165765,4,226478
361244,1,560790
251773,1,940573
111320,1,629113
427100,4,654130
760255,5,556633
983499,1,992316
75861,1,319428
468451,2,612729
447812,2,726902
456253,1,200357
363623,4,875790
869680,3,23209
405380,5,498403
775588,5,125314
129932,2,601349
824741,5,604969
821715,3,148140
845816,1,29900
363529,5,112782
12755,5,952446
250624,4,329354
262270,2,509337
115303,5,398308
777781,4,224320
69928,3,365744
93338,3,523315
822145,5,483164
386849,5,166665
133553,5,130263
285298,2,538720
381991,5,748314
462399,4,832590
519100,2,437185
391032,3,434768
147363,2,937140
691647,3,174413
754102,3,231554
564108,3,268919
456493,2,195357
623478,5,107986
410018,3,388984
107191,4,673693
801846,2,325260
313498,5,520455
437156,1,355797
865847,4,13052
9750,2,812256
426721,4,977581
466228,1,455164
157401,5,288667
120639,1,264142
267956,5,981888
569561,5,439969
87369,1,909110
346001,2,151473
630096,1,476082
168818,2,797375
301631,4,819024
631113,5,616797
979052,1,150709
